"","LFC","padj","DE"
"Cre01.g053000",5.39703655212119,3.78381549198648e-161,TRUE
"Cre01.g054250",3.20181440185847,0.00380845620312161,TRUE
"Cre01.g055100",-2.08585973163468,0.000100531808330314,TRUE
"Cre02.g073500",-3.11067695958561,8.99505474344946e-50,TRUE
"Cre02.g075300",2.34498688655969,5.58363505955486e-14,TRUE
"Cre02.g077800",-2.31013466029912,4.14093557215731e-14,TRUE
"Cre02.g078950",-2.29744820370171,1.63058992154822e-15,TRUE
"Cre02.g079450",-5.31196585328711,4.16503332998277e-61,TRUE
"Cre02.g079500",-7.45172025933518,3.80187543104322e-18,TRUE
"Cre02.g080000",-2.05238664491923,0.013936364812642,TRUE
"Cre02.g080050",2.39617232349581,2.20369687151524e-07,TRUE
"Cre02.g081000",-2.66986201623444,2.44389630501867e-14,TRUE
"Cre02.g081050",-2.06128928718363,2.98904782822548e-09,TRUE
"Cre02.g081850",-3.10346225643063,1.11517577581594e-06,TRUE
"Cre02.g081900",-7.94651023944696,1.55719940143073e-20,TRUE
"Cre02.g081950",-2.94855811495905,3.40974770953174e-19,TRUE
"Cre02.g082400",2.38016806866498,8.28225047826213e-34,TRUE
"Cre02.g082650",2.51608614677494,0.0360903148774062,TRUE
"Cre02.g084700",3.86480497764742,1.2360209689512e-14,TRUE
"Cre02.g085100",-4.12821881521121,3.18773945434343e-40,TRUE
"Cre02.g085500",5.98983288650903,5.03882551373653e-32,TRUE
"Cre02.g085550",2.61101699510474,9.61976187376664e-55,TRUE
"Cre02.g086150",-2.98630333553312,1.39041954841911e-12,TRUE
"Cre02.g087500",-3.46509248140177,6.02327647064711e-62,TRUE
"Cre02.g087629",2.97823058674086,1.26470889842153e-09,TRUE
"Cre02.g087700",2.14333058849353,2.4538266153589e-49,TRUE
"Cre02.g087800",-2.54505464136293,1.2536231975106e-31,TRUE
"Cre02.g087900",-2.21175617333149,4.18825107355482e-14,TRUE
"Cre02.g089400",6.64334899391757,1.44640905416031e-23,TRUE
"Cre02.g089450",-2.11109215888034,1.46208134351058e-13,TRUE
"Cre02.g089500",-5.86720447680452,6.65888942822513e-19,TRUE
"Cre02.g089950",-2.56712941813922,1.87591623857835e-18,TRUE
"Cre02.g090050",-3.81061237663039,4.42990011612043e-14,TRUE
"Cre02.g091700",-2.51282331026711,5.80290621480827e-24,TRUE
"Cre02.g091900",-2.74942687958196,7.05816635827518e-31,TRUE
"Cre02.g092700",-3.01614051938679,1.81498206033317e-40,TRUE
"Cre02.g092800",-2.64035935690643,4.43610257207431e-30,TRUE
"Cre02.g092850",-2.81593317189302,3.17109306887984e-26,TRUE
"Cre02.g095150",-2.00788176236539,2.01426974376548e-10,TRUE
"Cre02.g097100",2.52239567419821,2.07479743576465e-19,TRUE
"Cre02.g098000",3.89512252117225,0.000582304799272853,TRUE
"Cre02.g099900",2.10334405800453,2.79795289043322e-06,TRUE
"Cre02.g100450",-2.16292137396376,1.0358127502953e-23,TRUE
"Cre02.g100900",2.39220591690092,0.000287349733213409,TRUE
"Cre02.g102300",3.49620051034542,0.0058889760195476,TRUE
"Cre02.g102650",-3.51411890180253,2.24481931843185e-30,TRUE
"Cre02.g103250",2.3887478306859,6.87514829563866e-45,TRUE
"Cre02.g103300",-4.19551648616908,2.27415819591205e-49,TRUE
"Cre02.g104400",2.37854801490926,2.6165914291669e-06,TRUE
"Cre02.g105700",2.47504231507381,6.68607550784239e-29,TRUE
"Cre02.g105950",-2.05142322106144,5.90303529742713e-21,TRUE
"Cre02.g107213",2.41807380241048,0.0162922528488548,TRUE
"Cre02.g107650",-2.73568021975421,0.00329292749214976,TRUE
"Cre02.g107950",-2.18718892014973,1.42479905527595e-12,TRUE
"Cre02.g109100",-3.92053382313616,6.57650375152661e-66,TRUE
